ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
31,Paris,French Open,28/05/2023,Grand Slam,Outdoor,Clay,1st Round,5,Khachanov K.,Lestienne C.,11,70,2945,769,3,6,1,6,6,2,6,1,6,3,3,2,Completed,1.02,21,1.04,19.52,1.04,21,1.02,15.47
31,Paris,French Open,28/05/2023,Grand Slam,Outdoor,Clay,1st Round,5,Hurkacz H.,Goffin D.,14,111,2525,570,6,3,5,7,6,4,2,6,6,4,3,2,Completed,1.36,3.2,1.37,3.4,1.46,3.51,1.39,3
31,Paris,French Open,28/05/2023,Grand Slam,Outdoor,Clay,1st Round,5,Ofner S.,Cressy M.,118,44,534,975,6,4,7,6,6,2,,,,,3,0,Completed,1.3,3.5,1.31,3.8,1.36,3.8,1.32,3.44
31,Paris,French Open,28/05/2023,Grand Slam,Outdoor,Clay,1st Round,5,Griekspoor T.,Martinez P.,39,135,1034,448,6,4,2,6,0,6,7,5,6,3,3,2,Completed,2.1,1.73,2.15,1.79,2.2,1.8,2.11,1.74
31,Paris,French Open,28/05/2023,Grand Slam,Outdoor,Clay,1st Round,5,Albot R.,Kypson P.,113,329,564,154,6,3,6,2,4,6,6,1,,,3,1,Completed,1.36,3.2,1.42,3.12,1.46,3.2,1.39,3
31,Paris,French Open,28/05/2023,Grand Slam,Outdoor,Clay,1st Round,5,Kokkinakis T.,Evans D.,108,25,587,1480,6,4,6,4,6,4,,,,,3,0,Completed,2,1.8,2.02,1.88,2.05,1.9,1.99,1.82
31,Paris,French Open,28/05/2023,Grand Slam,Outdoor,Clay,1st Round,5,Fucsovics M.,Grenier H.,83,122,720,518,6,3,5,7,6,1,6,3,,,3,1,Completed,1.2,4.5,1.21,5.04,1.24,5.18,1.2,4.68
31,Paris,French Open,28/05/2023,Grand Slam,Outdoor,Clay,1st Round,5,Tsitsipas S.,Vesely J.,5,455,4775,92,7,5,6,3,4,6,7,6,,,3,1,Completed,1.02,19,1.02,22.09,1.03,22.09,1.02,16.29
31,Paris,French Open,28/05/2023,Grand Slam,Outdoor,Clay,1st Round,5,Kubler J.,Diaz Acosta F.,69,137,777,441,1,6,6,3,6,4,3,6,6,1,3,2,Completed,2.3,1.62,2.44,1.63,2.45,1.67,2.29,1.63
31,Paris,French Open,28/05/2023,Grand Slam,Outdoor,Clay,1st Round,5,Borges N.,Isner J.,80,90,727,675,6,4,5,7,7,6,4,6,7,6,3,2,Completed,1.4,3,1.41,3.15,1.45,3.15,1.4,2.96
